date,open,high,low,close,volume,rsi_7,rsi_14,cci_7,cci_14,sma_50,ema_50,sma_100,ema_100,macd,bollinger,TrueRange,atr_7,atr_14,next_day_close
03-04-2014,64.417145,65,63.655712,64.997147,12387900,70.20124515,69.76847864,67.34631656,99.26792366,56.08628582,57.5438738,52.42384278,53.05456727,2.453481699,62.09392855,1.344288,1.54008593,1.648287724,64.785713
03-05-2014,64.855713,65.262856,64.558571,64.785713,10868900,67.31357604,68.47780287,98.41652538,103.2231194,56.30560008,57.82786962,52.65965706,53.28750518,2.400095219,62.433857,0.704285,1.420685797,1.580858958,64.358574
03-06-2014,64.991432,65.428574,64.141426,64.358574,11809000,61.36435662,65.82838662,57.89019856,77.42843239,56.51942866,58.08397752,52.86897137,53.50732441,2.296842927,62.7630715,1.287148,1.401608969,1.559879604,64.052856
03-07-2014,64.867142,64.934288,63.644287,64.052856,11573800,57.14691854,63.92210136,-10.11678682,43.59861378,56.71311434,58.3180528,53.0797142,53.71669778,2.165384647,63.0520714,1.290001,1.385664974,1.54060256,62.849998
03-10-2014,64.067146,64.111427,61.728573,62.849998,15439200,43.44185552,56.93593147,-128.5454194,-47.88608786,56.88900002,58.49577732,53.24484275,53.89802292,1.941759036,63.12328565,2.382854,1.528120549,1.600763378,62.497143
03-11-2014,63.234287,63.811428,62.235714,62.497143,10448200,40.14676409,55.03573094,-92.61099196,-64.78201441,57.06200006,58.65269463,53.41025703,54.06873414,1.7162775,63.1735714,1.575714,1.534919613,1.598974136,62.368572
03-12-2014,61.954285,62.785713,61.382858,62.368572,12134500,38.8926972,54.32429058,-110.4251269,-119.7519906,57.2593715,58.7984162,53.57268562,54.23349569,1.509803083,63.19207155,1.402855,1.51605324,1.584965627,61.437141
3/13/2014,62.815716,62.897144,61.182858,61.437141,11390400,30.76923285,49.34748023,-96.71946821,-144.7398031,57.43957146,58.90189622,53.7154856,54.37648949,1.256527456,63.20014285,1.714286,1.544372206,1.594202796,60.64143
3/14/2014,61.104286,62.14143,60.42857,60.64143,14989100,25.46756916,45.51157189,-121.3784405,-161.9386533,57.60048576,58.97011361,53.84547133,54.50084381,0.980297213,63.1140001,1.71286,1.568441891,1.602678311,60.388573
3/17/2014,61.169998,61.542858,60.330002,60.388573,10695300,23.93839502,44.33226335,-110.115216,-146.0126481,57.77162864,59.02573977,53.9422285,54.61770526,0.7325351,63.02264305,1.212856,1.517643906,1.57483386,60.035713
3/18/2014,60.33857,60.894287,59.5,60.035713,14688100,21.8066617,42.67058729,-116.8638684,-145.3217207,57.93491432,59.06534678,54.08184276,54.72523854,0.50192313,62.90407155,1.394287,1.500021491,1.561937656,60.012856
3/19/2014,59.98143,60.778572,59.580002,60.012856,10531500,21.6608885,42.55930592,-89.09140727,-120.0723833,58.1078286,59.10250419,54.21019989,54.83017916,0.313700964,62.8459287,1.19857,1.456956992,1.535982823,60.610001
3/20/2014,59.952858,61.742859,59.92857,60.610001,14494900,34.92073546,46.48582697,-24.04323327,-76.74853537,58.35002862,59.16162199,54.34312848,54.9448832,0.210294014,62.769643,1.814289,1.508004422,1.555861836,57.998569
